"","ID","AGE","GENDER","RACE","ArrestTime","Hour","Month","Weekday","OFFENSE","Code","ShortCode"
"195",2226,17,"M","B","2016-09-05T20:55:00","20","九月","星期一","627.02(b) Possession or Smoking of a Small Amount of Marijuana","627","6"
"696",2394,19,"M","W","2016-10-29T00:36:00","0","十月","星期六","601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks","601","6"
"764",231,18,"M","B","2016-08-07T22:08:00","22","八月","星期日","627.02(b) Possession or Smoking of a Small Amount of Marijuana","627","6"
"1034",58,21,"F","B","2016-08-11T18:12:00","18","八月","星期四","627.02(b) Possession or Smoking of a Small Amount of Marijuana","627","6"
"1150",2509,19,"F","W","2016-10-30T02:12:00","2","十月","星期日","6310.3(a) Carrying a False Identification Card; under 21 to obtain liquor ","6310","63"
"1928",2949,20,"M","W","2016-11-18T01:47:00","1","十一月","星期五","6310.3(a) Carrying a False Identification Card; under 21 to obtain liquor ","6310","63"
"2462",5540,20,"M","B","2017-02-10T16:21:00","16","二月","星期五","627.02(b)(i) Possessing a small amount of marijuana","627","6"
"2732",1002,19,"M","B","2016-09-09T21:40:00","21","九月","星期五","627.02(b) Possession or Smoking of a Small Amount of Marijuana","627","6"
"796",1671,20,"M","B","2016-10-01T16:40:00","16","十月","星期六","601.11(a) Littering and Dumping; Any waste, dangerous or detrimental substance upon public property ","601","6"
"190",3717,17,"M","B","2016-12-21T09:00:00","9","十二月","星期三","3124.1 Sexual Assault","3124","31"
"239",1544,20,"M","W","2016-10-01T16:30:00","16","十月","星期六","6310.1 Selling Liquor to Minors ","6310","63"
"240",1544,20,"M","W","2016-10-01T16:30:00","16","十月","星期六","601.19 Social Host and Underage Drinking","601","6"
"270",4411,13,"M","B","2017-01-10T19:20:00","19","一月","星期二","6110.1 Possesion of Firearm by Minor ","6110","61"
"313",3877,17,"M","B","2016-12-21T16:00:00","16","十二月","星期三","6110.1 Possesion of Firearm by Minor","6110","61"
"347",4447,17,"M","B","2017-01-21T02:30:00","2","一月","星期六","6110.1 Possesion of Firearm by Minor ","6110","61"
"354",4467,20,"M","B","2017-01-09T21:00:00","21","一月","星期一","2709.1 Stalking Conduct or Repeatedly Acts Including Follows","2709","27"
"385",6411,11,"M","B","2017-03-16T09:30:00","9","三月","星期四","3124.1 Sexual Assault","3124","31"
"407",2065,17,"M","B","2016-10-25T14:30:00","14","十月","星期二","3503.B1IV DEF. TRESPASS POSTED ON SCHOOL GROUNDS","3503","35"
"438",3984,17,"M","B","2017-01-06T11:40:00","11","一月","星期五","6110.1 Possesion of Firearm by Minor","6110","61"
"449",4923,16,"M","B","2017-01-30T19:20:00","19","一月","星期一","6110.1 Possesion of Firearm by Minor","6110","61"
"503",6861,19,"M","B","2017-03-28T15:15:00","15","三月","星期二","6110.2 Possesion of Firearm with Altered Mfg. Number","6110","61"
