"","ID","AGE","GENDER","RACE","ArrestTime","Hour","Month","Weekday","ShortCode"
"1",2226,17,"M","B","2016-09-05T20:55:00","20","九月","星期一","6"
"2",2394,19,"M","W","2016-10-29T00:36:00","0","十月","星期六","6"
"3",231,18,"M","B","2016-08-07T22:08:00","22","八月","星期日","6"
"4",58,21,"F","B","2016-08-11T18:12:00","18","八月","星期四","6"
"5",2509,19,"F","W","2016-10-30T02:12:00","2","十月","星期日","63"
"6",2949,20,"M","W","2016-11-18T01:47:00","1","十一月","星期五","63"
"7",5540,20,"M","B","2017-02-10T16:21:00","16","二月","星期五","6"
"8",1002,19,"M","B","2016-09-09T21:40:00","21","九月","星期五","6"
"9",1671,20,"M","B","2016-10-01T16:40:00","16","十月","星期六","6"
"10",3717,17,"M","B","2016-12-21T09:00:00","9","十二月","星期三","31"
"11",1544,20,"M","W","2016-10-01T16:30:00","16","十月","星期六","63"
"12",1544,20,"M","W","2016-10-01T16:30:00","16","十月","星期六","6"
"13",4411,13,"M","B","2017-01-10T19:20:00","19","一月","星期二","61"
"14",3877,17,"M","B","2016-12-21T16:00:00","16","十二月","星期三","61"
"15",4447,17,"M","B","2017-01-21T02:30:00","2","一月","星期六","61"
"16",4467,20,"M","B","2017-01-09T21:00:00","21","一月","星期一","27"
"17",6411,11,"M","B","2017-03-16T09:30:00","9","三月","星期四","31"
"18",2065,17,"M","B","2016-10-25T14:30:00","14","十月","星期二","35"
"19",3984,17,"M","B","2017-01-06T11:40:00","11","一月","星期五","61"
"20",4923,16,"M","B","2017-01-30T19:20:00","19","一月","星期一","61"
"21",6861,19,"M","B","2017-03-28T15:15:00","15","三月","星期二","61"
"22",4941,21,"M","B","2017-02-02T13:20:00","13","二月","星期四","6"
"23",6419,21,"M","B","2017-03-10T02:15:00","2","三月","星期五","6"
"24",26,15,"M","B","2016-08-31T21:29:00","21","八月","星期三","61"
"25",28,18,"M","B","2016-08-02T13:45:00","13","八月","星期二","61"
"26",46,16,"M","B","2016-09-13T09:15:00","9","九月","星期二","61"
"27",729,13,"M","B","2016-08-24T12:34:00","12","八月","星期三","6"
"28",729,13,"M","B","2016-08-24T12:34:00","12","八月","星期三","61"
"29",729,13,"M","B","2016-08-24T12:34:00","12","八月","星期三","27"
"30",2475,21,"M","W","2016-10-31T21:35:00","21","十月","星期一","35"
"31",94,16,"M","B","2016-09-01T23:22:00","23","九月","星期四","61"
"32",4576,17,"M","B","2017-01-28T17:00:00","17","一月","星期六","61"
"33",2403,16,"M","B","2016-11-01T20:04:00","20","十一月","星期二","61"
"34",5168,17,"M","B","2017-02-10T19:15:00","19","二月","星期五","61"
"35",5173,13,"M","B","2017-02-08T12:44:00","12","二月","星期三","61"
"36",2422,19,"M","B","2016-11-09T12:53:00","12","十一月","星期三","6"
"37",328,19,"M","W","2016-09-06T14:00:00","14","九月","星期二","31"
"38",2067,14,"M","B","2016-10-21T20:55:00","20","十月","星期五","61"
"39",5328,15,"M","B","2017-02-13T17:30:00","17","二月","星期一","61"
"40",5337,13,"M","B","2017-02-08T20:45:00","20","二月","星期三","27"
"41",1035,15,"M","B","2016-09-10T15:50:00","15","九月","星期六","61"
"42",3532,16,"M","B","2016-12-17T09:50:00","9","十二月","星期六","61"
"43",2547,17,"M","B","2016-11-16T14:03:00","14","十一月","星期三","61"
"44",416,16,"M","B","2016-09-19T15:00:00","15","九月","星期一","6"
"45",416,16,"M","B","2016-09-19T15:00:00","15","九月","星期一","61"
"46",2584,15,"M","B","2016-11-07T21:10:00","21","十一月","星期一","61"
"47",6480,21,"M","W","2017-03-11T21:35:00","21","三月","星期六","35"
"48",2601,17,"M","B","2016-11-16T14:03:00","14","十一月","星期三","61"
"49",2610,21,"M","B","2016-11-18T09:54:00","9","十一月","星期五","31"
"50",2546,17,"M","B","2016-11-16T14:03:00","14","十一月","星期三","61"
"51",2621,21,"M","B","2016-11-19T17:35:00","17","十一月","星期六","61"
"52",5432,21,"M","B","2017-02-09T16:26:00","16","二月","星期四","61"
"53",5905,21,"F","B","2017-02-14T15:54:00","15","二月","星期二","6"
"54",5433,18,"M","B","2017-02-09T16:26:00","16","二月","星期四","61"
"55",5434,21,"M","B","2017-02-09T16:26:00","16","二月","星期四","61"
"56",4548,16,"M","B","2017-01-09T02:03:00","2","一月","星期一","61"
"57",5133,17,"M","O","2017-01-11T11:30:00","11","一月","星期三","31"
"58",2713,20,"F","B","2016-10-09T02:40:00","2","十月","星期日","35"
"59",4276,19,"M","B","2017-01-01T20:43:00","20","一月","星期日","6"
"60",2715,17,"F","B","2016-10-09T02:40:00","2","十月","星期日","35"
"61",6545,21,"M","B","2017-03-12T01:25:00","1","三月","星期日","61"
"62",299,14,"M","B","2016-08-26T06:15:00","6","八月","星期五","61"
"63",365,18,"M","B","2016-08-31T21:29:00","21","八月","星期三","61"
"64",2914,19,"M","B","2016-11-23T10:30:00","10","十一月","星期三","61"
"65",4017,19,"M","B","2016-12-28T17:58:00","17","十二月","星期三","61"
"66",2070,16,"M","B","2016-10-26T06:15:00","6","十月","星期三","61"
"67",6552,18,"M","B","2017-03-12T04:04:00","4","三月","星期日","6"
"68",4394,18,"M","W","2017-01-06T11:10:00","11","一月","星期五","61"
"69",2949,20,"M","W","2016-11-18T01:47:00","1","十一月","星期五","6"
"70",750,16,"M","B","2016-08-30T00:32:00","0","八月","星期二","61"
"71",6624,21,"M","O","2017-03-13T22:39:00","22","三月","星期一","35"
"72",730,12,"M","B","2016-08-24T12:34:00","12","八月","星期三","6"
"73",730,12,"M","B","2016-08-24T12:34:00","12","八月","星期三","61"
"74",730,12,"M","B","2016-08-24T12:34:00","12","八月","星期三","27"
"75",734,21,"M","W","2016-08-13T02:18:00","2","八月","星期六","35"
"76",5930,16,"M","B","2017-02-17T19:57:00","19","二月","星期五","61"
"77",3069,21,"M","B","2016-12-02T10:00:00","10","十二月","星期五","61"
"78",1545,20,"M","W","2016-10-01T16:30:00","16","十月","星期六","63"
"79",1545,20,"M","W","2016-10-01T16:30:00","16","十月","星期六","6"
"80",5958,13,"F","B","2017-03-01T14:00:00","14","三月","星期三","61"
"81",925,17,"M","B","2016-09-02T13:51:00","13","九月","星期五","61"
"82",926,16,"M","B","2016-09-02T13:51:00","13","九月","星期五","61"
"83",5974,13,"M","B","2017-02-25T21:00:00","21","二月","星期六","6"
"84",6300,13,"M","B","2017-03-08T13:40:00","13","三月","星期三","6"
"85",962,16,"M","B","2016-09-16T15:25:00","15","九月","星期五","61"
"86",6036,15,"M","B","2017-02-16T10:55:00","10","二月","星期四","27"
"87",964,19,"M","B","2016-09-10T18:46:00","18","九月","星期六","27"
"88",965,16,"M","B","2016-09-10T18:45:00","18","九月","星期六","61"
"89",972,20,"M","B","2016-09-22T14:00:00","14","九月","星期四","61"
"90",6288,15,"M","B","2017-03-02T21:05:00","21","三月","星期四","61"
"91",3365,16,"M","B","2016-11-24T01:07:00","1","十一月","星期四","61"
"92",3380,17,"M","B","2016-12-11T11:40:00","11","十二月","星期日","61"
"93",1006,21,"M","W","2016-09-06T16:44:00","16","九月","星期二","63"
"94",1006,21,"M","W","2016-09-06T16:44:00","16","九月","星期二","6"
"95",1007,21,"M","W","2016-09-06T16:44:00","16","九月","星期二","63"
"96",1007,21,"M","W","2016-09-06T16:44:00","16","九月","星期二","6"
"97",3451,17,"M","B","2016-12-09T21:00:00","21","十二月","星期五","61"
"98",2714,19,"F","B","2016-10-09T02:40:00","2","十月","星期日","35"
"99",3453,17,"M","B","2016-12-12T22:36:00","22","十二月","星期一","6"
"100",3453,17,"M","B","2016-12-12T22:36:00","22","十二月","星期一","61"
"101",3456,18,"M","B","2016-12-14T19:30:00","19","十二月","星期三","61"
"102",3457,20,"M","B","2016-12-14T19:30:00","19","十二月","星期三","61"
"103",3458,18,"M","B","2016-12-14T19:30:00","19","十二月","星期三","61"
"104",3459,17,"M","B","2016-12-14T19:30:00","19","十二月","星期三","61"
"105",5330,16,"M","B","2017-02-13T17:30:00","17","二月","星期一","61"
"106",3543,21,"M","B","2016-12-19T13:08:00","13","十二月","星期一","6"
"107",3707,21,"M","W","2015-11-04T19:45:00","19","十一月","星期三","6"
"108",6292,16,"M","B","2017-03-08T17:53:00","17","三月","星期三","61"
"109",5931,17,"M","B","2017-02-18T06:05:00","6","二月","星期六","61"
"110",5972,15,"F","B","2017-02-25T21:00:00","21","二月","星期六","6"
"111",5972,15,"F","B","2017-02-25T21:00:00","21","二月","星期六","37"
"112",6299,13,"M","B","2017-03-08T13:50:00","13","三月","星期三","6"
"113",3693,21,"M","B","2016-12-26T09:00:00","9","十二月","星期一","27"
"114",3719,14,"M","B","2016-12-21T08:45:00","8","十二月","星期三","31"
"115",3720,13,"M","B","2016-12-21T08:45:00","8","十二月","星期三","31"
"116",3771,17,"M","B","2016-12-22T22:52:00","22","十二月","星期四","61"
"117",3789,17,"M","B","2016-12-16T03:45:00","3","十二月","星期五","61"
"118",1262,18,"M","B","2016-08-08T14:17:00","14","八月","星期一","61"
"119",1275,17,"F","B","2016-09-25T02:23:00","2","九月","星期日","61"
"120",1284,17,"M","B","2016-09-29T19:15:00","19","九月","星期四","61"
"121",1285,16,"M","B","2016-09-29T19:15:00","19","九月","星期四","61"
"122",1294,16,"M","B","2016-09-13T16:21:00","16","九月","星期二","61"
"123",1302,20,"M","W","2016-09-17T01:40:00","1","九月","星期六","6"
"124",1335,20,"M","W","2016-10-01T20:35:00","20","十月","星期六","63"
"125",1335,20,"M","W","2016-10-01T20:35:00","20","十月","星期六","6"
"126",1395,19,"M","W","2016-09-26T16:00:00","16","九月","星期一","63"
"127",1395,19,"M","W","2016-09-26T16:00:00","16","九月","星期一","6"
"128",1396,19,"M","W","2016-09-26T16:00:00","16","九月","星期一","63"
"129",1396,19,"M","W","2016-09-26T16:00:00","16","九月","星期一","6"
"130",1397,19,"M","W","2016-09-26T16:00:00","16","九月","星期一","63"
"131",1397,19,"M","W","2016-09-26T16:00:00","16","九月","星期一","6"
"132",1398,19,"M","W","2016-09-26T16:00:00","16","九月","星期一","63"
"133",1398,19,"M","W","2016-09-26T16:00:00","16","九月","星期一","6"
"134",1562,18,"M","B","2016-09-28T17:00:00","17","九月","星期三","61"
"135",3902,21,"M","W","2016-12-24T02:00:00","2","十二月","星期六","35"
"136",6407,19,"M","B","2017-02-27T12:34:00","12","二月","星期一","35"
"137",1611,18,"M","W","2016-09-26T20:55:00","20","九月","星期一","6"
"138",4016,18,"M","B","2016-12-28T17:58:00","17","十二月","星期三","6"
"139",4016,18,"M","B","2016-12-28T17:58:00","17","十二月","星期三","61"
"140",4018,18,"M","B","2016-12-28T18:02:00","18","十二月","星期三","61"
"141",1874,20,"M","B","2016-10-05T18:38:00","18","十月","星期三","61"
"142",6479,21,"M","B","2017-03-05T09:03:00","9","三月","星期日","6"
"143",1534,21,"M","W","2016-09-27T11:45:00","11","九月","星期二","35"
"144",3452,13,"M","B","2016-12-12T16:07:00","16","十二月","星期一","61"
"145",4017,19,"M","B","2016-12-28T17:58:00","17","十二月","星期三","6"
"146",2206,21,"M","W","2016-10-22T01:40:00","1","十月","星期六","35"
"147",2986,18,"M","B","2016-11-17T12:00:00","12","十一月","星期四","35"
"148",3707,21,"M","W","2015-11-04T19:45:00","19","十一月","星期三","63"
"149",1533,21,"M","W","2016-09-27T11:45:00","11","九月","星期二","35"
"150",1535,21,"M","W","2016-09-27T11:45:00","11","九月","星期二","35"
"151",4018,18,"M","B","2016-12-28T18:02:00","18","十二月","星期三","6"
"152",3104,17,"M","B","2016-11-21T11:00:00","11","十一月","星期一","35"
"153",4209,20,"M","B","2017-01-03T15:40:00","15","一月","星期二","13(a)"
"154",4315,20,"M","B","2017-01-03T15:30:00","15","一月","星期二","13(a)"
"155",6031,12,"F","B","2017-02-21T12:20:00","12","二月","星期二","55"
"156",4413,15,"M","B","2017-01-12T11:21:00","11","一月","星期四","55"
"157",2063,10,"M","B","2016-10-20T10:45:00","10","十月","星期四","33"
"158",2063,10,"M","B","2016-10-20T10:45:00","10","十月","星期四","55"
"159",3843,21,"M","B","2016-12-19T13:10:00","13","十二月","星期一","61"
"160",2064,12,"M","B","2016-10-24T14:30:00","14","十月","星期一","55"
"161",3368,21,"M","H","2016-11-24T02:03:00","2","十一月","星期四","55"
"162",4459,18,"M","B","2017-01-23T17:40:00","17","一月","星期一","61"
"163",1762,20,"M","B","2016-10-05T21:00:00","21","十月","星期三","13(a)"
"164",4154,18,"M","B","2016-12-31T12:26:00","12","十二月","星期六","61"
"165",4154,18,"M","B","2016-12-31T12:26:00","12","十二月","星期六","13(a)"
"166",5878,20,"M","B","2017-02-23T18:02:00","18","二月","星期四","13(a)"
"167",2110,18,"F","W","2016-10-30T03:40:00","3","十月","星期日","38"
"168",95,21,"M","B","2016-08-29T23:30:00","23","八月","星期一","13(a)"
"169",4193,21,"M","W","2017-01-01T00:58:00","0","一月","星期日","55"
"170",2218,20,"M","B","2016-10-18T20:20:00","20","十月","星期二","13(a)"
"171",4537,21,"M","B","2017-01-11T20:45:00","20","一月","星期三","13(a)"
"172",2235,16,"F","B","2016-10-18T20:34:00","20","十月","星期二","55"
"173",2236,20,"M","W","2016-10-19T13:00:00","13","十月","星期三","13(a)"
