"","ID","AGE","GENDER","RACE","ArrestTime","OFFENSE","Hour","Month","Weekday","Teen"
"1",3104,17,"M","B","2016-11-21T11:00:00","5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 3503(b)(1)(i) Actual Communication","11","November","Monday",1
"2",4205,32,"M","W","2017-01-03T16:28:00","903 Criminal Conspiracy. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 7512 Criminal Use of Communication","16","January","Tuesday",0
"3",1502,19,"M","B","2016-09-23T20:42:00","13(a)(31)(i) Marijuana - Possess Small Amt for Personal Use","20","September","Friday",1
"4",1702,50,"M","B","2016-10-01T02:30:00","13(a)(16) Possession of Controlled Substance","2","October","Saturday",0
"5",2002,30,"M","B","2016-10-25T18:20:00","3701 Robbery.","18","October","Tuesday",0
"6",4308,28,"M","B","2017-01-04T18:50:00","5101 Obstructing Admin. of Law  / 5104 Resisting Arrest or Other Law Enforcement. / 3334 Turning Movements and Required Signals. / 4303 General Lighting Requirements. / 13(a)(31) Marijuana: Possession Small Amount","18","January","Wednesday",0
"7",3804,57,"F","B","2016-12-13T16:20:00","3921 Theft by Unlawful Taking or Disposition.","16","December","Tuesday",0
"8",4310,22,"M","B","2017-01-02T15:55:00","2701 Simple Assault.","15","January","Monday",0
"9",4311,69,"M","B","2017-01-03T14:05:00","3802(a)(1) DUI - General Impairment","14","January","Tuesday",0
"10",4209,20,"M","B","2017-01-03T15:40:00","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession","15","January","Tuesday",1
"11",4313,27,"M","W","2017-01-03T15:00:00","13(a)(16) Possession of Controlled Substance","15","January","Tuesday",0
"12",4315,20,"M","B","2017-01-03T15:30:00","6106 Firearms not to be Carried without a License. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance","15","January","Tuesday",1
"13",1709,25,"M","B","2016-10-02T00:01:00","4910 Tampering with or Fabricating Physical Evidence. / 6106 Firearms not to be Carried without a License. / 6105(c)(9) Persons Not To Possess Use Manuf, Control Firearm","0","October","Sunday",0
"14",4318,57,"M","B","2017-01-18T15:00:00","903 Criminal Conspiracy. / 3304 Criminal Mischief. / 3934 Theft from Vehicle","15","January","Wednesday",0
"15",1404,28,"M","W","2016-09-21T11:35:00","9093 Indirect Criminal Contempt","11","September","Wednesday",0
"16",2010,33,"F","B","2016-10-16T02:55:00","9501 Bench Warrant","2","October","Sunday",0
