"","ID","AGE","GENDER","RACE","ArrestTime","OFFENSE","Hour","Month","Weekday","Teen","Code","ShortCode"
"1149",159,59,"M","B","2016-08-18T20:40:00","601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance","20","August","Thursday",0,"601","6"
"1344",1671,20,"M","B","2016-10-01T16:40:00","601.11(a) Littering and Dumping; Any waste, dangerous or detrimental substance upon public property / 13(a)(31) Marijuana: Possession Small Amount","16","October","Saturday",1,"601","6"
"2635",5562,36,"F","W","2017-02-12T04:45:00","601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount","4","February","Sunday",0,"601","6"
"3102",2851,46,"F","B","2016-11-12T16:18:00","601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks / 13(a)(32) Paraphernalia - Use or Possession","16","November","Saturday",0,"601","6"
"4769",5050,26,"M","B","2017-01-31T16:50:00","601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks / 13(a)(32) Paraphernalia - Use or Possession","16","January","Tuesday",0,"601","6"
"5260",1001,42,"F","W","2016-09-02T18:03:00","601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks / 13(a)(32) Paraphernalia - Use or Possession","18","September","Friday",0,"601","6"
"6123",1716,41,"M","W","2016-10-02T14:00:00","601.11(a) Littering and Dumping; Any waste, dangerous or detrimental substance upon public property / 3802(a)(1) DUI - General Impairment / 3809(a) Restriction on Alcoholic Beverages in Vehicle","14","October","Sunday",0,"601","6"
"134",2075,31,"F","W","2016-10-11T12:16:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","12","October","Tuesday",0,"3503","35"
"249",4607,52,"M","W","2017-01-14T01:31:00","3735.1 Aggravated Assault While DUI / 3802(a)(1) DUI - General Impairment / 3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16%","1","January","Saturday",0,"3735","37"
"389",1531,26,"M","W","2016-09-27T11:45:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","11","September","Tuesday",0,"3503","35"
"417",4373,27,"M","B","2017-01-07T16:00:00","601.16 Public Urination And Defecation / 9501 Bench Warrant","16","January","Saturday",0,"601","6"
"480",2286,54,"M","B","2016-11-04T01:57:00","2709.1 Stalking Conduct or Repeatedly Acts Including Follows","1","November","Friday",0,"2709","27"
"602",1729,23,"M","B","2016-10-05T09:50:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","9","October","Wednesday",0,"3503","35"
"686",5877,39,"M","B","2017-02-24T17:55:00","3503.B1II DEF. TRESPASS POSTED","17","February","Friday",0,"3503","35"
"847",6479,21,"M","B","2017-03-05T09:03:00","607.07 Carrying Fascimiles of Firearms Prohibited / 2701(a)(3) Simple Assault - Attempts by Physical Menace ","9","March","Sunday",1,"607","6"
"866",1534,21,"M","W","2016-09-27T11:45:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","11","September","Tuesday",1,"3503","35"
"903",4997,28,"F","W","2017-01-24T10:48:00","419.01 Obstruction of Street, Sidewalk, or Public Way / 13(a)(32) Paraphernalia - Use or Possession / 5902(a)(2) Prostitution - Loitering for purpose of","10","January","Tuesday",0,"419","4"
"1021",3452,13,"M","B","2016-12-12T16:07:00","6110.1 Possesion of Firearm by Minor","16","December","Monday",1,"6110","61"
"1186",5149,38,"F","W","2017-01-29T22:37:00","601.12 Interference with Official Duties / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2701(a)(3) Simple Assault - Attempts by Physical Menace ","22","January","Sunday",0,"601","6"
"1252",2134,44,"M","H","2016-10-20T01:35:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","1","October","Thursday",0,"3503","35"
"1448",2429,50,"M","B","2016-11-10T17:00:00","701.14 License Revocation or Suspension / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 3736 Reckless Driving","17","November","Thursday",0,"701","7"
"1556",5084,45,"F","W","2017-02-05T12:27:00","2709.1 Stalking Conduct or Repeatedly Acts Including Follows","12","February","Sunday",0,"2709","27"
"1591",5317,33,"M","B","2017-02-02T19:20:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","19","February","Thursday",0,"3503","35"
"1700",4645,67,"M","B","2016-12-11T07:53:00","601.16 Public Urination And Defecation / 601.16(b)(2) Any Person who urinates or defecates in, on, or about any public place w/o immediately cleaning and disposing of the material / 3503(b)(1)(ii) Defiant Trespass Notice Posted by Sign(s) / 5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST","7","December","Sunday",0,"601","6"
"1711",47,22,"M","W","2016-09-09T20:45:00","6310.1 Selling Liquor to Minors / 601.04 (c) (2) Loudspeakers, etc 0700-2200 >75dB(c) 2200-0700 >75 dB(c)","20","September","Friday",0,"6310","63"
"1842",413,57,"M","W","2016-09-07T08:10:00","2709.1 Stalking Conduct or Repeatedly Acts Including Follows","8","September","Wednesday",0,"2709","27"
"1938",2573,24,"F","B","2016-11-18T13:10:00","2709.1 Stalking Conduct or Repeatedly Acts Including Follows","13","November","Friday",0,"2709","27"
"2397",241,69,"M","W","2016-08-28T16:07:00","2709.1 Stalking Conduct or Repeatedly Acts Including Follows / 2709.A3 HARASSMENT - COURSE OF CONDUCT W/NO LEGIT. PURPOSE","16","August","Sunday",0,"2709","27"
"2436",6211,55,"F","B","2017-03-04T20:36:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","20","March","Saturday",0,"3503","35"
"2471",4271,41,"M","B","2017-01-13T13:39:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","13","January","Friday",0,"3503","35"
"3095",3668,37,"F","W","2016-12-07T17:30:00","3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION","17","December","Wednesday",0,"3503","35"
"3351",2044,31,"M","W","2016-10-27T20:43:00","2709.1 Stalking Conduct or Repeatedly Acts Including Follows","20","October","Thursday",0,"2709","27"
"3382",498,26,"M","B","2016-08-06T16:30:00","3742.1 Accident Involv. Death/Inj. While not Licensed","16","August","Saturday",0,"3742","37"
